de & ela & teus & havemos & fossem \\
a & entre & tuas & hão & for \\
o & depois & nosso & houve & formos \\
que & sem & nossa & houvemos & forem \\
e & mesmo & nossos & houveram & serei \\
do & aos & nossas & houvera & será \\
da & seus & dela & houvéramos & seremos \\
em & quem & delas & haja & serão \\
um & nas & esta & hajamos & seria \\
para & me & estes & hajam & seríamos \\
com & esse & estas & houvesse & seriam \\
não & eles & aquele & houvéssemos & tenho \\
uma & você & aquela & houvessem & tem \\
os & essa & aqueles & houver & temos \\
no & num & aquelas & houvermos & tém \\
se & nem & isto & houverem & tinha \\
na & suas & aquilo & houverei & tínhamos \\
por & meu & estou & houverá & tinham \\
mais & às & está & houveremos & tive \\
as & minha & estamos & houverão & teve \\
dos & numa & estão & houveria & tivemos \\
como & pelos & estive & houveríamos & tiveram \\
mas & elas & esteve & houveriam & tivera \\
ao & qual & estivemos & sou & tivéramos \\
ele & nós & estiveram & somos & tenha \\
das & lhe & estava & são & tenhamos \\
à & deles & estávamos & era & tenham \\
seu & essas & estavam & éramos & tivesse \\
sua & esses & estivera & eram & tivéssemos \\
ou & pelas & estivéramos & fui & tivessem \\
quando & este & esteja & foi & tiver \\
muito & dele & estejamos & fomos & tivermos \\
nos & tu & estejam & foram & tiverem \\
já & te & estivesse & fora & terei \\
eu & vocês & estivéssemos & fôramos & terá \\
também & vos & estivessem & seja & teremos \\
só & lhes & estiver & sejamos & terão \\
pelo & meus & estivermos & sejam & teria \\
pela & minhas & estiverem & fosse & teríamos \\
até & teu & hei & fôssemos & teriam \\
isso & tua & há &  & \\
