10 & 100 & 0.52492 & 185 & 0.27817 & 46 & 0.34842 & 41 & 0.49975 & 194 \\
20 & 100 & 0.61292 & 188 & 0.17347 & 33 & 0.62343 & 372 & 0.2606 & 65 \\
30 & 100 & 0.44091 & 180 & 0.19947 & 34 & 0.23092 & 32 & 0.23418 & 67 \\
40 & 100 & 0.35587 & 179 & 0.18093 & 28 & 0.19326 & 28 & 0.18636 & 59 \\
50 & 100 & 0.43357 & 179 & 0.16162 & 23 & 0.17518 & 24 & 0.2338 & 73 \\
60 & 100 & 0.50034 & 174 & 0.09936 & 20 & 0.14641 & 21 & 0.22027 & 69 \\
70 & 100 & 0.62796 & 200 & 0.14811 & 21 & 0.16095 & 21 & 0.1245 & 58 \\
80 & 100 & 0.36678 & 173 & 0.10458 & 17 & 0.09324 & 12 & 0.16368 & 64 \\
90 & 100 & 0.37332 & 166 & 0.14312 & 21 & 0.10471 & 22 & 0.24675 & 83 \\
100 & 100 & 0.88347 & 171 & 0.05328 & 11 & 0.09557 & 16 & 0.17062 & 60 \\
10 & 100 & 0.48685 & 187 & 0.28548 & 42 & 0.32102 & 46 & 0.34146 & 99 \\
20 & 100 & 0.53292 & 182 & 0.25409 & 41 & 0.30847 & 38 & 0.25329 & 83 \\
30 & 100 & 0.43659 & 183 & 0.17735 & 27 & 0.48491 & 79 & 0.19374 & 61 \\
40 & 100 & 0.45454 & 178 & 0.20817 & 40 & 0.14002 & 24 & 0.29482 & 121 \\
50 & 100 & 1.10625 & 173 & 0.05981 & 11 & 0.16242 & 27 & 0.19788 & 77 \\
60 & 100 & 0.68752 & 207 & 0.16447 & 28 & 0.16087 & 29 & 0.26207 & 89 \\
70 & 100 & 0.46317 & 173 & 0.07417 & 16 & 0.10382 & 17 & 0.17478 & 61 \\
80 & 100 & 0.31605 & 169 & 0.1425 & 22 & 0.31815 & 227 & 0.67368 & 311 \\
90 & 100 & 0.52471 & 176 & 0.04696 & 9 & 0.06335 & 13 & 0.16982 & 64 \\
100 & 100 & 0.32186 & 172 & 0.07464 & 14 & 0.09765 & 12 & 0.12852 & 59 \\
10 & 100 & 0.53897 & 189 & 0.27334 & 41 & 0.37267 & 43 & 0.2846 & 73 \\
20 & 100 & 1.44204 & 177 & 0.23405 & 39 & 0.25502 & 32 & 0.22859 & 78 \\
30 & 100 & 0.46814 & 176 & 0.09864 & 18 & 0.19228 & 27 & 0.22674 & 63 \\
40 & 100 & 0.48752 & 178 & 0.15741 & 23 & 0.12146 & 21 & 0.23589 & 71 \\
50 & 100 & 0.83561 & 172 & 0.13474 & 18 & 0.1478 & 18 & 0.17592 & 66 \\
60 & 100 & 0.48231 & 180 & 0.0919 & 14 & 0.13991 & 26 & 0.19683 & 65 \\
70 & 100 & 0.57842 & 171 & 0.10092 & 15 & 0.12214 & 20 & 0.19774 & 63 \\
80 & 100 & 0.8987 & 178 & 0.0869 & 18 & 0.09081 & 17 & 0.17713 & 58 \\
90 & 100 & 0.36581 & 174 & 0.07476 & 11 & 0.15038 & 25 & 0.20935 & 71 \\
100 & 100 & 0.41101 & 169 & 0.0897 & 17 & 0.09944 & 17 & 0.1539 & 59 \\
10 & 100 & 0.50998 & 184 & 0.28028 & 43 & 0.33246 & 48 & 0.1925 & 71 \\
20 & 100 & 0.47042 & 185 & 0.28723 & 46 & 0.2632 & 38 & 0.30572 & 81 \\
30 & 100 & 1.13399 & 181 & 0.22236 & 33 & 0.25415 & 33 & 0.22765 & 75 \\
40 & 100 & 0.43028 & 187 & 0.15007 & 23 & 0.16261 & 24 & 0.22767 & 69 \\
50 & 100 & 0.39176 & 171 & 0.10262 & 16 & 0.16754 & 23 & 0.19167 & 64 \\
60 & 100 & 0.49735 & 213 & 0.12764 & 19 & 0.21089 & 29 & 0.16317 & 65 \\
70 & 100 & 0.41832 & 171 & 0.09306 & 19 & 0.12101 & 16 & 0.18917 & 58 \\
80 & 100 & 0.48153 & 187 & 0.12676 & 21 & 0.13118 & 19 & 0.12941 & 54 \\
90 & 100 & 0.64046 & 173 & 0.07988 & 18 & 0.14226 & 18 & 0.10423 & 58 \\
100 & 100 & 0.51424 & 222 & 0.13493 & 25 & 0.10948 & 18 & 0.16872 & 58 \\
10 & 100 & 0.48775 & 520 & 0.2585 & 46 & 0.34246 & 46 & 0.24774 & 84 \\
20 & 100 & 0.47057 & 182 & 0.16811 & 25 & 0.17788 & 28 & 0.25954 & 77 \\
30 & 100 & 0.61844 & 181 & 0.16759 & 28 & 0.18998 & 26 & 0.18739 & 67 \\
40 & 100 & 0.42377 & 176 & 0.16113 & 26 & 0.20547 & 28 & 0.16262 & 72 \\
50 & 100 & 0.30993 & 173 & 0.11369 & 21 & 0.17123 & 23 & 0.21473 & 63 \\
60 & 100 & 0.74537 & 169 & 0.10701 & 19 & 0.15068 & 28 & 0.17464 & 58 \\
70 & 100 & 0.53292 & 170 & 0.06881 & 14 & 0.11429 & 19 & 0.21257 & 68 \\
80 & 100 & 0.29039 & 174 & 0.1085 & 18 & 0.12361 & 16 & 0.13765 & 57 \\
90 & 100 & 0.34716 & 218 & 0.04528 & 10 & 0.1117 & 16 & 0.09552 & 70 \\
100 & 100 & 0.71132 & 170 & 0.12488 & 20 & 0.11442 & 16 & 0.13568 & 57 \\
10 & 200 & 0.60305 & 218 & 0.41943 & 68 & 0.74945 & 220 & 0.33915 & 120 \\
20 & 200 & 0.58371 & 198 & 0.28979 & 62 & 0.46733 & 62 & 0.51448 & 160 \\
30 & 200 & 0.55305 & 203 & 0.336 & 66 & 0.28211 & 43 & 0.4344 & 153 \\
40 & 200 & 0.56548 & 209 & 0.23469 & 46 & 0.21577 & 43 & 0.26739 & 99 \\
50 & 200 & 0.44387 & 203 & 0.22165 & 39 & 0.14503 & 32 & 0.24873 & 91 \\
60 & 200 & 0.6989 & 197 & 0.20033 & 42 & 0.26634 & 34 & 0.203 & 77 \\
70 & 200 & 0.31079 & 197 & 0.07504 & 20 & 0.13912 & 31 & 0.29788 & 108 \\
80 & 200 & 0.58018 & 191 & 0.03804 & 13 & 0.04557 & 16 & 0.11876 & 81 \\
90 & 200 & 0.34646 & 200 & 0.06975 & 16 & 0.03023 & 12 & 0.1382 & 83 \\
100 & 200 & 0.54113 & 199 & 0.05445 & 11 & 0.07972 & 21 & 0.13962 & 61 \\
10 & 200 & 0.63062 & 213 & 0.38251 & 70 & 0.49901 & 79 & 0.31672 & 105 \\
20 & 200 & 0.61712 & 226 & 0.43352 & 71 & 0.39829 & 65 & 0.2648 & 114 \\
30 & 200 & 0.51228 & 201 & 0.14353 & 35 & 0.32894 & 50 & 0.23532 & 90 \\
40 & 200 & 0.50578 & 205 & 0.31764 & 54 & 0.22381 & 46 & 0.1281 & 86 \\
50 & 200 & 0.51791 & 205 & 0.20446 & 43 & 0.19588 & 46 & 0.19223 & 89 \\
60 & 200 & 0.42296 & 194 & 0.11546 & 27 & 0.17359 & 35 & 0.13258 & 86 \\
70 & 200 & 1.1154 & 197 & 0.09362 & 21 & 0.03877 & 25 & 0.26674 & 111 \\
80 & 200 & 0.47046 & 202 & 0.06159 & 13 & 0.11971 & 29 & 0.15033 & 70 \\
90 & 200 & 0.53725 & 232 & 0.07588 & 19 & 0.11092 & 27 & 0.23208 & 87 \\
100 & 200 & 0.35993 & 185 & 0.07404 & 19 & 0.11243 & 25 & 0.21747 & 101 \\
10 & 200 & 0.76061 & 216 & 0.45905 & 92 & 0.53691 & 72 & 0.32271 & 101 \\
20 & 200 & 1.38226 & 208 & 0.35372 & 62 & 0.3817 & 52 & 0.26199 & 92 \\
30 & 200 & 0.47579 & 207 & 0.34918 & 61 & 0.27165 & 40 & 0.45338 & 146 \\
40 & 200 & 0.51116 & 210 & 0.12618 & 24 & 0.27506 & 48 & 0.27013 & 97 \\
50 & 200 & 0.42804 & 206 & 0.12975 & 30 & 0.21598 & 33 & 0.28602 & 93 \\
60 & 200 & 0.51907 & 204 & 0.1166 & 28 & 0.07611 & 31 & 0.17575 & 80 \\
70 & 200 & 0.46477 & 204 & 0.17089 & 32 & 0.0915 & 18 & 0.19022 & 75 \\
80 & 200 & 0.4837 & 192 & 0.08917 & 19 & 0.15234 & 39 & 0.1056 & 76 \\
90 & 200 & 0.78124 & 200 & 0.11756 & 22 & 0.10893 & 26 & 0.15167 & 75 \\
100 & 200 & 0.65451 & 187 & 0.11351 & 23 & 0.03284 & 21 & 0.18125 & 75 \\
10 & 200 & 0.85286 & 237 & 0.56498 & 88 & 0.47331 & 71 & 0.35327 & 108 \\
20 & 200 & 0.6299 & 216 & 0.28465 & 63 & 0.38752 & 61 & 0.29476 & 105 \\
30 & 200 & 0.54373 & 256 & 0.24498 & 50 & 0.2314 & 41 & 0.30079 & 105 \\
40 & 200 & 0.40794 & 199 & 0.17196 & 41 & 0.2542 & 57 & 0.20987 & 82 \\
50 & 200 & 0.43603 & 204 & 0.26307 & 51 & 0.16001 & 40 & 0.11615 & 88 \\
60 & 200 & 0.51045 & 197 & 0.08877 & 20 & 0.15608 & 29 & 0.20661 & 116 \\
70 & 200 & 0.44356 & 195 & 0.15462 & 35 & 0.18076 & 30 & 0.15888 & 74 \\
80 & 200 & 0.31199 & 191 & 0.13268 & 21 & 0.05106 & 16 & 0.18426 & 68 \\
90 & 200 & 0.43501 & 198 & 0.11964 & 23 & 0.03596 & 14 & 0.19622 & 70 \\
100 & 200 & 0.38935 & 199 & 0.08956 & 20 & 0.05138 & 20 & 0.16561 & 84 \\
10 & 200 & 0.63865 & 211 & 0.35329 & 57 & 0.57404 & 94 & 0.43214 & 152 \\
20 & 200 & 0.64622 & 204 & 0.3753 & 64 & 0.25187 & 53 & 0.21319 & 97 \\
30 & 200 & 0.68798 & 207 & 0.28876 & 46 & 0.2838 & 54 & 0.32502 & 135 \\
40 & 200 & 0.48246 & 204 & 0.2406 & 55 & 0.33378 & 49 & 0.20627 & 100 \\
50 & 200 & 0.37204 & 212 & 0.17522 & 40 & 0.26364 & 47 & 0.41219 & 168 \\
60 & 200 & 0.51101 & 202 & 0.09654 & 21 & 0.15865 & 36 & 0.22721 & 74 \\
70 & 200 & 0.67684 & 200 & 0.07626 & 18 & 0.08226 & 18 & 0.23839 & 90 \\
80 & 200 & 0.4104 & 195 & 0.05604 & 16 & 0.15693 & 30 & 0.14777 & 82 \\
90 & 200 & 0.37051 & 195 & 0.04605 & 17 & 0.03672 & 23 & 0.25206 & 86 \\
100 & 200 & 1.1079 & 196 & 0.07981 & 16 & 0.04277 & 19 & 0.20597 & 82 \\
10 & 300 & 0.77531 & 264 & 0.62792 & 116 & 0.58446 & 108 & 0.35391 & 119 \\
20 & 300 & 0.75313 & 245 & 0.50622 & 100 & 0.55642 & 97 & 0.39552 & 150 \\
30 & 300 & 0.96381 & 220 & 0.39527 & 84 & 0.30772 & 74 & 0.28997 & 121 \\
40 & 300 & 0.62834 & 233 & 0.21997 & 66 & 0.20893 & 63 & 0.46623 & 207 \\
50 & 300 & 0.45924 & 220 & 0.20098 & 46 & 0.1399 & 54 & 0.27147 & 119 \\
60 & 300 & 0.54015 & 243 & 0.22032 & 56 & 0.16105 & 47 & 0.26373 & 102 \\
