1 & DS-CC UNT 1.1 & 16 & 55,17 & 29 & 101 & 14,41 & 701 \\
2 & DS-CC UNT 1.2 & 13 & 44,83 & 29 & 3 & 0,61 & 490 \\
3 & DS-CC UNT 1.3 & 14 & 48,28 & 29 & 407 & 43,21 & 942 \\
4 & DS-CC UNT 1.4 & 22 & 75,86 & 29 & 9 & 13,04 & 69 \\
5 & DS-CC UNT 1.5 & 13 & 44,83 & 29 & 4 & 1,01 & 395 \\
6 & DS-CC UNT 1.6 & 17 & 58,62 & 29 & 154 & 34,30 & 449 \\
7 & DS-CC UNT 1.7 & 14 & 48,28 & 29 & 7 & 1,02 & 689 \\
8 & DS-CC UNT 2.1 & 13 & 43,33 & 30 & 2 & 0,52 & 384 \\
9 & DS-CC UNT 2.2 & 22 & 73,33 & 30 & 94 & 13,53 & 695 \\
10 & DS-CC UNT 2.3 & 16 & 53,33 & 30 & 7 & 0,99 & 704 \\
11 & DS-CC UNT 2.4 & 18 & 60,00 & 30 & 2 & 1,02 & 197 \\
12 & DS-CC UNT 2.5 & 21 & 70,00 & 30 & 54 & 21,86 & 247 \\
13 & DS-CC UNT 2.6 & 22 & 73,33 & 30 & 288 & 34,16 & 843 \\
14 & DS-CC UNT 2.7 & 19 & 63,33 & 30 & 4 & 0,75 & 536 \\
15 & DS-CC UNT 3.1 & 15 & 48,39 & 31 & 26 & 10,61 & 245 \\
16 & DS-CC UNT 3.2 & 22 & 70,97 & 31 & 11 & 3,91 & 281 \\
17 & DS-CC UNT 3.3 & 21 & 67,74 & 31 & 4 & 0,84 & 475 \\
18 & DS-CC UNT 3.4 & 29 & 93,55 & 31 & 3 & 0,54 & 556 \\
19 & DS-CC UNT 3.5 & 18 & 58,06 & 31 & 3 & 0,92 & 327 \\
20 & DS-CC UNT 3.6 & 16 & 51,61 & 31 & 185 & 37,37 & 495 \\
21 & DS-CC UNT 3.7 & 12 & 38,71 & 31 & 3 & 0,46 & 659 \\
22 & DS-CC UNT 4.1 & 22 & 73,33 & 30 & 4 & 0,65 & 619 \\
23 & DS-CC UNT 4.2 & 14 & 46,67 & 30 & 474 & 52,73 & 899 \\
24 & DS-CC UNT 4.3 & 24 & 80,00 & 30 & 71 & 14,14 & 502 \\
25 & DS-CC UNT 4.4 & 18 & 60,00 & 30 & 8 & 1,13 & 707 \\
26 & DS-CC UNT 4.5 & 14 & 46,67 & 30 & 92 & 26,29 & 350 \\
27 & DS-CC UNT 4.6 & 18 & 60,00 & 30 & 2 & 1,87 & 107 \\
28 & DS-CC UNT 4.7 & 22 & 73,33 & 30 & 2 & 1,28 & 156 \\
29 & DS-CC UNT 5.1 & 21 & 75,00 & 28 & 40 & 6,28 & 637 \\
30 & DS-CC UNT 5.2 & 16 & 57,14 & 28 & 5 & 0,81 & 618 \\
31 & DS-CC UNT 5.3 & 15 & 53,57 & 28 & 147 & 34,35 & 428 \\
32 & DS-CC UNT 5.4 & 21 & 75,00 & 28 & 4 & 1,77 & 226 \\
33 & DS-CC UNT 6.1 & 15 & 57,69 & 26 & 2 & 0,59 & 337 \\
34 & DS-CC UNT 6.2 & 16 & 61,54 & 26 & 2 & 1,45 & 138 \\
35 & DS-CC UNT 6.3 & 12 & 46,15 & 26 & 14 & 8,05 & 174 \\
36 & DS-CC UNT 6.4 & 20 & 76,92 & 26 & 2 & 0,60 & 331 \\
37 & DS-CC UNT 6.5 & 18 & 69,23 & 26 & 3 & 1,70 & 176 \\
38 & DS-CC UNT 6.6 & 14 & 53,85 & 26 & 30 & 11,76 & 255 \\
39 & DS-CC UNT 6.7 & 19 & 73,08 & 26 & 83 & 29,33 & 283 \\
40 & DS-CC UNT 7.1 & 18 & 69,23 & 26 & 1 & 0,19 & 528 \\
41 & DS-CC UNT 7.2 & 12 & 46,15 & 26 & 2 & 0,41 & 488 \\
42 & DS-CC UNT 7.3 & 16 & 61,54 & 26 & 6 & 0,93 & 642 \\
43 & DS-CC UNT 7.4 & 14 & 53,85 & 26 & 4 & 1,82 & 220 \\
44 & DS-CC UNT 7.5 & 17 & 65,38 & 26 & 28 & 5,91 & 474 \\
45 & DS-CC UNT 7.6 & 13 & 50,00 & 26 & 2 & 0,50 & 397 \\
46 & DS-CC UNT 7.7 & 17 & 65,38 & 26 & 138 & 33,91 & 407 \\
