FILOSOFIA-20-387 & 49 & 195 & 12 & 4 & 19 & 3 \\
FILOSOFIA-20-388 & 49 & 186 & 12 & 4 & 18 & 4 \\
FILOSOFIA-20-389 & 46 & 315 & 15 & 3 & 21 & 5 \\
FILOSOFIA-20-390 & 49 & 344 & 14 & 3 & 18 & 6 \\
MTPC-13-220 & 17 & 65 & 10 & 4 & 15 & 5 \\
MTPC-13-221 & 17 & 87 & 9 & 3 & 13 & 2 \\
MTPC-13-258 & 18 & 262 & 24 & 10 & 50 & 11 \\
MTPC-13-281 & 19 & 158 & 16 & 5 & 22 & 2 \\
MTPC-13-282 & 14 & 434 & 49 & 25 & 112 & 17 \\
MTPC-13-283 & 13 & 540 & 62 & 24 & 111 & 26 \\
MTPC-13-304 & 7 & 47 & 14 & 5 & 20 & 5 \\
MTPC-13-307 & 9 & 407 & 95 & 69 & 211 & 10 \\
MTPC-13-309 & 7 & 286 & 66 & 31 & 135 & 31 \\
MTPC-13-321 & 9 & 367 & 69 & 30 & 121 & 18 \\
MTPC-13-338 & 13 & 80 & 14 & 4 & 20 & 8 \\
MTPC-13-339 & 12 & 96 & 14 & 3 & 19 & 9 \\
MTPC-13-340 & 11 & 86 & 13 & 3 & 17 & 9 \\
MTPC-13-341 & 10 & 61 & 10 & 2 & 15 & 8 \\
MTPC-13-342 & 9 & 79 & 14 & 3 & 19 & 9 \\
MTPC-13-343 & 10 & 90 & 13 & 4 & 17 & 6 \\
MTPC-13-350 & 14 & 230 & 30 & 25 & 88 & 13 \\
MTPC-13-351 & 13 & 94 & 15 & 5 & 19 & 3 \\
MTPC-13-352 & 13 & 213 & 48 & 28 & 115 & 11 \\
MTPC-13-353 & 17 & 57 & 5 & 6 & 19 & 0 \\
MTPC-13-354 & 17 & 70 & 12 & 5 & 18 & 4 \\
MTPC-13-355 & 16 & 140 & 15 & 4 & 20 & 7 \\
MTPC-13-356 & 17 & 99 & 15 & 2 & 18 & 11 \\
MTPC-13-357 & 17 & 72 & 12 & 4 & 17 & 5 \\
MTPC-13-358 & 16 & 140 & 17 & 2 & 21 & 11 \\
MTPC-13-359 & 15 & 101 & 16 & 4 & 19 & 4 \\
MTPC-13-360 & 17 & 138 & 23 & 10 & 43 & 12 \\
MTPC-13-361 & 14 & 81 & 11 & 5 & 19 & 4 \\
MTPC-13-362 & 16 & 51 & 10 & 3 & 15 & 7 \\
MTPC-13-363 & 15 & 66 & 13 & 4 & 17 & 7 \\
MTPC-13-364 & 15 & 81 & 13 & 5 & 19 & 5 \\
MTPC-13-365 & 15 & 59 & 11 & 4 & 18 & 4 \\
MTPC-13-366 & 14 & 74 & 15 & 2 & 18 & 12 \\
MTPC-13-367 & 15 & 59 & 19 & 4 & 24 & 12 \\
MTPC-13-368 & 14 & 57 & 10 & 4 & 19 & 4 \\
MTPC-13-369 & 15 & 62 & 14 & 4 & 19 & 7 \\
MTPC-13-378 & 17 & 114 & 13 & 4 & 19 & 7 \\
MTPC-13-379 & 17 & 119 & 14 & 3 & 19 & 8 \\
MTPC-13-380 & 17 & 111 & 15 & 3 & 19 & 9 \\
MTPC-13-381 & 16 & 112 & 13 & 5 & 21 & 5 \\
MTPC-13-382 & 15 & 129 & 15 & 4 & 20 & 7 \\
MTPC-13-383 & 17 & 103 & 16 & 4 & 21 & 5 \\
MTPC-13-384 & 16 & 125 & 15 & 4 & 23 & 5 \\
MTPC-13-392 & 13 & 18 & 4 & 2 & 9 & 3 \\
MTPC-13-395 & 17 & 62 & 10 & 3 & 16 & 5 \\
MTPC-13-397 & 16 & 170 & 16 & 6 & 30 & 10 \\
MTPC-13-405 & 14 & 159 & 17 & 7 & 30 & 10 \\
